month,projected_volume_mn,lower_95,upper_95
2025-11-01,20218.506413197574,19310.89720031958,21126.115626075567
2025-12-01,20589.89912810929,19682.289915231297,21497.508340987282
2026-01-01,20961.291843021005,20053.682630143012,21868.901055898998
